,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Date
492,Ambam,NG,66.25,98,88,5.08,1551308723
493,Luoyang,CN,29.49,77,0,2.39,1551308723
494,Sonqor,IR,44.6,84,75,6.93,1551306600
495,Kalabo,ZM,72.96,57,32,4.52,1551308724
496,Baghdad,IQ,55.4,87,75,2.24,1551304800
497,Yuanping,CN,19.59,73,0,2.17,1551308724
498,Ercis,TR,36.0,74,75,6.93,1551304200
499,Luganville,VU,80.29,100,80,15.14,1551308725
500,Sault Sainte Marie,CA,15.8,72,90,2.28,1551308160
501,Khorixas,NA,68.59,43,0,3.18,1551308725
502,Beya,RU,15.04,73,88,2.39,1551308726
503,Ozernovskiy,RU,23.46,84,76,18.5,1551308726
504,Padang,ID,77.0,100,40,1.12,1551304800
505,Verrettes,HT,86.0,51,40,8.05,1551304800
506,Antofagasta,CL,73.4,60,20,11.41,1551304800
507,Kaduqli,SD,78.54,25,68,10.11,1551308727
508,Kirkland Lake,CA,6.8,71,75,8.05,1551304800
509,Manadhoo,MV,80.79,100,20,4.52,1551308728
510,Flinders,AU,80.01,73,75,5.82,1551308721
511,Llangefni,GB,46.99,93,0,2.24,1551308719
512,Koslan,RU,8.02,71,68,5.3,1551308729
513,Ryotsu,JP,39.2,100,75,2.24,1551304800
514,Tabuk,PH,63.19,88,0,2.17,1551308729
515,Anadyr,RU,26.6,92,75,13.42,1551308599
516,Hokitika,NZ,60.54,84,0,3.62,1551308730
517,Shymkent,KZ,46.4,49,0,15.66,1551306600
518,Ulladulla,AU,75.0,73,75,5.82,1551308500
519,Tarpon Springs,US,71.6,94,75,4.85,1551308451
520,Ojinaga,US,80.6,10,1,3.36,1551308434
521,Sayyan,YE,43.71,82,0,1.39,1551308731
522,Maharajganj,IN,59.14,94,92,5.19,1551308731
523,Barkot,IN,33.63,92,24,2.06,1551308731
524,Makhachkala,RU,39.2,86,75,8.95,1551306600
525,Weihe,CN,35.65,98,92,2.06,1551308732
526,Ngozi,BI,56.04,91,36,2.84,1551308732
527,Mwinilunga,ZM,66.57,78,24,1.83,1551308732
528,Vila Franca do Campo,PT,60.8,100,75,13.87,1551308714
529,Guider,CM,75.21,50,36,5.64,1551308733
530,Pangnirtung,CA,6.8,38,5,6.93,1551304800
531,Waingapu,ID,79.57,93,12,3.62,1551308733
